,net_profit,total_closed,percent_profitable,profit_factor,max_drawdown,avg_trade,avg_bars,script
0,0,94,46.81,1.2,3.79,0,28,https://www.tradingview.com/script/aqVvUNub-The-Pivot-Reversal-Strategy-Just-changed-it-a-bit/
0,103.68,1070,68.88,1.217,28012.50,0.1,6,https://www.tradingview.com/script/BwT2z9zw-TEMA1-Backtest/
0,98.61,823,69.26,1.568,10414.20,0.12,7,https://www.tradingview.com/script/ANBc7bkF-TSI-HullMA-VWMA-strategy/
0,1355.66,3,33.33,38.004,3663.60,451.89,333,https://www.tradingview.com/script/lv5FOVyA-GoldenCross-Strategy-by-Clefsphere/
0,0.02,122,42.62,1.51,7.20,0,16,https://www.tradingview.com/script/VEIgAb4d-Breakout-Scalper-Session/
0,27.8,157,40.13,1.786,5422.60,0.18,79,https://www.tradingview.com/script/ISy4P1JB-OHLC4-strategy/
0,5376.6,91,48.35,3.035,755085.00,59.08,40,https://www.tradingview.com/script/AHMm9ctU-sma-cf-str/
0,23.66,351,61.25,1.245,15925.00,0.07,34,https://www.tradingview.com/script/IP16z56S-TFS-MBO-Backtest/
0,0.08,18,55.56,2.57,41.88,0,29,https://www.tradingview.com/script/l3zozraW-BadaBing-Ichimoku/
0,8.11,50,42,2.253,3978.30,0.16,15,https://www.tradingview.com/script/UN45MAbl-RENKO-ICHIMOKU-STRATEGY/
0,30.35,35,91.43,114.685,120.00,0.87,129,https://www.tradingview.com/script/jofWHP5C-Average-Down/
0,219904.29,198,87.88,82.854,1064478.29,1110.63,8,https://www.tradingview.com/script/8qESxT4C-CCI-Scalp-Man-SHK/
0,270.28,118,62.71,1.358,540979.00,2.29,36,https://www.tradingview.com/script/gxiLLzut/
0,21.41,815,50.18,1.142,12450.00,0.03,25,https://www.tradingview.com/script/u0lxiNaq-Volatility-Backtest/
0,0,165,28.48,2.388,0.20,0,73,https://www.tradingview.com/script/brmFwe3F-Buy-Sell-Strategy-Traderspro-21EMA-200SMA-Pivots/
0,25.78,1138,79.79,1.177,12862.50,0.02,11,https://www.tradingview.com/script/ZyNj4Ewl-Woodie-Pivot-Points-Backtest/
0,6140.12,100,38,3.808,755745.80,61.4,58,https://www.tradingview.com/script/XBEG3KaA-noro-s-levels-strategy-v1-1/
0,61.55,227,44.93,3.134,5500.17,0.27,55,https://www.tradingview.com/script/392nqoZZ-3h-vs-7h-Moving-Average/
0,175602645.77,435,81.15,24.888,2320408921.60,403684.24,24,https://www.tradingview.com/script/eekDk7qQ-Open-Close-Cross-Strategy-R5-1-revised-by-JustUncleL/
